customer_key,customer_number,customer_name,age,age_group,customer_segment,last_order_date,quarters,recency,total_orders,total_sales,total_quantity,lifespan,avg_order_value,avg_monthly_spend
1,AW00011000,Jon Yang,54,50 and above,VIP,5/3/2013,Q2,144,3,"$8,249.00",8,8,"$2,749.00",$294.00
2,AW00011001,Eugene Huang,49,40-49,VIP,12/10/2013,Q4,137,3,"$6,384.00",11,10,"$2,128.00",$182.00
3,AW00011002,Ruben Torres,54,50 and above,VIP,2/23/2013,Q1,147,3,"$8,114.00",4,4,"$2,704.00",$324.00
4,AW00011003,Christy Zhu,52,50 and above,VIP,5/10/2013,Q2,144,3,"$8,139.00",9,9,"$2,713.00",$280.00
5,AW00011004,Elizabeth Johnson,46,40-49,VIP,5/1/2013,Q2,144,3,"$8,196.00",6,6,"$2,732.00",$292.00
6,AW00011005,Julio Ruiz,49,40-49,VIP,5/2/2013,Q2,144,3,"$8,121.00",6,6,"$2,707.00",$280.00
7,AW00011006,Janet Alvarez,49,40-49,VIP,5/14/2013,Q2,144,3,"$8,119.00",5,5,"$2,706.00",$289.00
8,AW00011007,Marco Mehta,56,50 and above,VIP,3/19/2013,Q1,146,3,"$8,211.00",8,8,"$2,737.00",$315.00
9,AW00011008,Rob Verhoff,50,50 and above,VIP,3/2/2013,Q1,146,3,"$8,106.00",7,7,"$2,702.00",$311.00
10,AW00011009,Shannon Carlson,56,50 and above,VIP,5/9/2013,Q2,144,3,"$8,091.00",5,5,"$2,697.00",$288.00
11,AW00011010,Jacquelyn Suarez,56,50 and above,VIP,5/23/2013,Q2,144,3,"$8,088.00",4,4,"$2,696.00",$288.00
12,AW00011011,Curtis Lu,56,50 and above,VIP,3/19/2013,Q1,146,3,"$8,133.00",4,4,"$2,711.00",$301.00
13,AW00011012,Lauren Walker,46,40-49,New,10/15/2013,Q4,139,2,$81.00,5,5,$40.00,$11.00
14,AW00011013,Ian Jenkins,46,40-49,New,1/21/2014,Q1,136,2,$114.00,5,5,$57.00,$12.00
15,AW00011014,Sydney Bennett,52,50 and above,New,4/30/2013,Q2,145,2,$138.00,6,5,$69.00,$138.00
16,AW00011015,Chloe Young,41,40-49,New,1/18/2013,Q1,148,1,"$2,501.00",3,3,"$2,501.00","$2,501.00"
17,AW00011016,Wyatt Hill,41,40-49,New,2/9/2013,Q1,147,1,"$2,332.00",3,3,"$2,332.00","$2,332.00"
18,AW00011017,Shannon Wang,76,50 and above,VIP,10/14/2013,Q4,139,3,"$6,434.00",4,4,"$2,144.00",$194.00
19,AW00011018,Clarence Rai,70,50 and above,VIP,10/24/2013,Q4,139,3,"$6,533.00",7,7,"$2,177.00",$197.00
20,AW00011019,Luke Lal,42,40-49,New,1/12/2014,Q1,136,17,$880.00,33,20,$51.00,$80.00
21,AW00011020,Jordan King,41,40-49,New,12/29/2012,Q4,149,1,2317,2,2,2317,2317
22,AW00011021,Destiny Wilson,41,40-49,New,1/23/2013,Q1,148,1,"$2,372.00",3,3,"$2,372.00","$2,372.00"
23,AW00011022,Ethan Zhang,41,40-49,New,1/20/2013,Q1,148,1,"$2,322.00",2,2,"$2,322.00","$2,322.00"
24,AW00011023,Seth Edwards,41,40-49,New,1/14/2014,Q1,136,2,$122.00,6,6,$61.00,$11.00
25,AW00011024,Russell Xie,41,40-49,New,7/26/2013,Q3,142,2,$56.00,6,5,$28.00,$56.00
26,AW00011025,Alejandro Beck,74,50 and above,VIP,10/25/2013,Q4,139,3,"$6,577.00",6,6,"$2,192.00",$199.00
27,AW00011026,Harold Sai,74,50 and above,VIP,10/15/2013,Q4,139,3,"$6,575.00",7,7,"$2,191.00",$199.00
28,AW00011027,Jessie Zhao,73,50 and above,VIP,10/24/2013,Q4,139,3,"$6,591.00",9,9,"$2,197.00",$199.00
29,AW00011028,Jill Jimenez,74,50 and above,VIP,10/7/2013,Q4,139,3,"$6,474.00",5,5,"$2,158.00",$196.00
30,AW00011029,Jimmy Moreno,73,50 and above,VIP,11/11/2013,Q4,138,3,"$6,565.00",7,7,"$2,188.00",$193.00
31,AW00011030,Bethany Yuan,67,50 and above,VIP,11/9/2013,Q4,138,3,"$6,471.00",4,4,"$2,157.00",$196.00
32,AW00011031,Theresa Ramos,72,50 and above,VIP,11/13/2013,Q4,138,3,"$6,478.00",6,6,"$2,159.00",$196.00
33,AW00011032,Denise Stone,73,50 and above,VIP,11/8/2013,Q4,138,3,"$6,525.00",10,10,"$2,175.00",$197.00
34,AW00011033,Jaime Nath,67,50 and above,VIP,11/5/2013,Q4,138,3,"$6,495.00",7,7,"$2,165.00",$196.00
35,AW00011034,Ebony Gonzalez,73,50 and above,VIP,11/10/2013,Q4,138,3,"$6,491.00",4,4,"$2,163.00",$196.00
36,AW00011035,Wendy Dominguez,72,50 and above,VIP,11/15/2013,Q4,138,3,"$6,451.00",5,5,"$2,150.00",$195.00
37,AW00011036,Jennifer Russell,41,40-49,New,1/22/2013,Q1,148,1,"$2,355.00",2,2,"$2,355.00","$2,355.00"
38,AW00011037,Chloe Garcia,42,40-49,New,1/20/2013,Q1,148,1,"$2,374.00",7,7,"$2,374.00","$2,374.00"
39,AW00011038,Diana Hernandez,72,50 and above,VIP,11/12/2013,Q4,138,3,"$6,437.00",3,3,"$2,145.00",$195.00
40,AW00011039,Marc Martin,71,50 and above,VIP,11/11/2013,Q4,138,3,"$6,636.00",9,8,"$2,212.00",$201.00
41,AW00011040,Jesse Murphy,42,40-49,New,4/3/2013,Q2,145,1,"$2,351.00",3,3,"$2,351.00","$2,351.00"
42,AW00011041,Amanda Carter,42,40-49,New,1/14/2013,Q1,148,1,"$2,381.00",3,3,"$2,381.00","$2,381.00"
43,AW00011042,Megan Sanchez,43,40-49,New,10/17/2013,Q4,139,2,"$3,112.00",3,3,"$1,556.00",$345.00
44,AW00011043,Nathan Simmons,44,40-49,New,8/18/2013,Q3,141,2,$48.00,3,3,$24.00,$16.00
45,AW00011044,Adam Flores,71,50 and above,VIP,11/8/2013,Q4,138,3,"$6,515.00",7,7,"$2,171.00",$197.00
46,AW00011045,Leonard Nara,70,50 and above,New,10/29/2013,Q4,139,2,$115.00,4,4,$57.00,$19.00
47,AW00011046,Christine Yuan,70,50 and above,VIP,11/12/2013,Q4,138,3,"$6,616.00",6,6,"$2,205.00",$200.00
48,AW00011047,Jaclyn Lu,70,50 and above,VIP,11/19/2013,Q4,138,3,"$6,582.00",4,4,"$2,194.00",$199.00
